epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,9185.3,0.47847,0.46631,1.06867,0.90832,0.90643,0.93534,0.89245,0.25117,0.27806,0.88484,0.00239766,0.00239766,0.00239766
70,9318.42,0.47779,0.46031,1.06624,0.92815,0.8941,0.94148,0.89516,0.24833,0.27876,0.88354,0.00226769,0.00226769,0.00226769
71,9451.18,0.48233,0.463,1.07103,0.93421,0.89499,0.94259,0.89826,0.24867,0.27269,0.88411,0.00214046,0.00214046,0.00214046
72,9584.37,0.46893,0.45159,1.06174,0.93975,0.89361,0.94359,0.90026,0.24902,0.26984,0.88574,0.00201611,0.00201611,0.00201611
73,9716.98,0.46221,0.44271,1.05604,0.93096,0.89773,0.94743,0.90311,0.24677,0.26966,0.87855,0.00189475,0.00189475,0.00189475
74,9849.86,0.47206,0.45041,1.06553,0.93241,0.8977,0.94863,0.90524,0.24324,0.26597,0.87552,0.00177651,0.00177651,0.00177651
75,9983.1,0.46015,0.44323,1.05843,0.92074,0.90577,0.9465,0.90372,0.24197,0.26506,0.87585,0.00166149,0.00166149,0.00166149
76,10115.8,0.46101,0.44185,1.0596,0.92862,0.8933,0.94718,0.90498,0.2424,0.26678,0.8776,0.00154982,0.00154982,0.00154982
77,10248.8,0.46272,0.44022,1.0608,0.93232,0.88704,0.94672,0.90166,0.24295,0.26956,0.8788,0.00144161,0.00144161,0.00144161
78,10381.7,0.45552,0.42827,1.05288,0.93689,0.87431,0.94903,0.90492,0.24293,0.26795,0.87921,0.00133695,0.00133695,0.00133695
79,10515.3,0.4534,0.42778,1.05594,0.91972,0.89987,0.9501,0.90872,0.23877,0.26151,0.87644,0.00123596,0.00123596,0.00123596
80,10648.4,0.45049,0.42219,1.05044,0.91437,0.90915,0.94882,0.90661,0.23823,0.26394,0.87652,0.00113873,0.00113873,0.00113873
81,10781,0.44614,0.42244,1.04663,0.90564,0.91702,0.94672,0.90273,0.23941,0.25787,0.87702,0.00104537,0.00104537,0.00104537
82,10914.1,0.44297,0.41166,1.0473,0.91905,0.89866,0.94767,0.90343,0.24055,0.26117,0.87788,0.000955951,0.000955951,0.000955951
83,11047.7,0.44399,0.41325,1.0458,0.91946,0.90519,0.94927,0.90669,0.2417,0.26154,0.87801,0.000870577,0.000870577,0.000870577
84,11180.7,0.44492,0.41512,1.0494,0.89623,0.92507,0.95052,0.90862,0.24213,0.26124,0.87803,0.000789327,0.000789327,0.000789327
85,11313.4,0.4457,0.41477,1.04928,0.89948,0.9197,0.94942,0.90693,0.24206,0.26188,0.87784,0.000712282,0.000712282,0.000712282
86,11446.4,0.43528,0.40375,1.04411,0.93094,0.89065,0.95025,0.90662,0.24272,0.26121,0.87868,0.000639518,0.000639518,0.000639518
87,11579.1,0.43677,0.40466,1.04423,0.91309,0.90491,0.94962,0.90616,0.24244,0.26028,0.87874,0.000571106,0.000571106,0.000571106
88,11711.9,0.43242,0.40157,1.04135,0.90943,0.90974,0.94821,0.90677,0.24157,0.26231,0.87765,0.000507115,0.000507115,0.000507115
89,11844.7,0.43227,0.40213,1.04146,0.90756,0.91171,0.94843,0.9061,0.24094,0.26277,0.87648,0.000447606,0.000447606,0.000447606
90,11977.7,0.43701,0.40214,1.04559,0.90889,0.91179,0.94818,0.9059,0.24121,0.26289,0.8768,0.00039264,0.00039264,0.00039264
91,12109.9,0.24983,0.19878,0.92588,0.90074,0.91252,0.9436,0.8998,0.2435,0.26852,0.87949,0.00034227,0.00034227,0.00034227
92,12240.8,0.24136,0.18201,0.92247,0.9208,0.89579,0.94013,0.89619,0.24189,0.27193,0.87727,0.000296546,0.000296546,0.000296546
93,12371.9,0.24069,0.17804,0.91847,0.92262,0.8955,0.93706,0.8927,0.24089,0.26998,0.87624,0.000255513,0.000255513,0.000255513
94,12502.8,0.23641,0.17711,0.91327,0.92272,0.89785,0.93628,0.89259,0.241,0.27001,0.87644,0.000219212,0.000219212,0.000219212
95,12634.3,0.23392,0.17208,0.91025,0.92015,0.89874,0.93603,0.89186,0.24126,0.26998,0.87772,0.000187678,0.000187678,0.000187678
96,12764.9,0.23142,0.17065,0.90836,0.91864,0.89799,0.9357,0.89096,0.24029,0.2714,0.87672,0.000160943,0.000160943,0.000160943
97,12896,0.23345,0.17384,0.91579,0.92066,0.8985,0.93525,0.89132,0.23955,0.27093,0.87617,0.000139032,0.000139032,0.000139032
98,13026.9,0.23228,0.17097,0.90875,0.91835,0.89993,0.93511,0.89118,0.23964,0.27114,0.87621,0.000121968,0.000121968,0.000121968
99,13158,0.23098,0.16729,0.90961,0.91981,0.89479,0.93503,0.89159,0.23968,0.27069,0.87639,0.000109768,0.000109768,0.000109768
100,13289.4,0.23122,0.16753,0.91496,0.92124,0.89467,0.93523,0.89182,0.23945,0.2701,0.87615,0.000102443,0.000102443,0.000102443
